freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.231e+02,1.798e+01,1.088e+01,3.520e+02
1.7,3.874e+02,4.710e+01,3.622e+01,4.708e+02
3.4,3.456e+02,5.397e+01,3.959e+01,4.391e+02
5.1,1.257e+03,5.256e+01,3.896e+01,1.348e+03
6.8,2.842e+03,4.889e+01,3.980e+01,2.931e+03
8.6,4.936e+03,8.724e+01,3.913e+01,5.063e+03
10.3,9.150e+03,2.089e+02,4.377e+01,9.403e+03
12.0,1.050e+04,2.230e+02,5.930e+01,1.078e+04
13.7,4.792e+03,8.873e+01,4.443e+01,4.926e+03
15.4,6.132e+03,4.556e+01,3.931e+01,6.217e+03
17.1,9.614e+03,5.218e+01,4.194e+01,9.708e+03
18.8,1.344e+04,9.921e+01,6.058e+01,1.360e+04
20.5,1.785e+04,2.061e+02,7.737e+01,1.813e+04
22.3,2.141e+04,1.689e+02,6.671e+01,2.165e+04
24.0,2.443e+04,8.320e+01,5.643e+01,2.457e+04
25.7,2.714e+04,7.130e+01,4.628e+01,2.726e+04
27.4,2.958e+04,9.736e+01,4.009e+01,2.971e+04
29.1,3.522e+04,1.590e+02,3.963e+01,3.542e+04
30.8,4.558e+04,5.645e+02,6.113e+01,4.620e+04
32.5,5.522e+04,2.663e+03,2.477e+02,5.813e+04
34.2,5.302e+04,6.115e+03,5.320e+02,5.967e+04
35.9,4.900e+04,5.545e+03,3.152e+02,5.487e+04
37.7,6.305e+04,4.609e+03,9.920e+01,6.776e+04
39.4,7.638e+04,3.646e+03,2.002e+02,8.023e+04
41.1,8.259e+04,1.020e+03,2.849e+02,8.390e+04
42.8,1.030e+05,4.558e+02,2.154e+02,1.037e+05
44.5,1.342e+05,2.262e+02,1.117e+02,1.345e+05
46.2,1.991e+05,1.035e+02,1.462e+02,1.994e+05
47.9,3.120e+05,1.036e+02,3.273e+02,3.124e+05
49.6,4.654e+05,3.735e+02,6.513e+02,4.664e+05
51.4,4.826e+05,8.562e+02,8.639e+02,4.843e+05
53.1,2.308e+05,9.388e+02,4.885e+02,2.322e+05
54.8,1.282e+05,5.467e+02,2.387e+02,1.290e+05
56.5,1.893e+05,2.062e+02,2.544e+02,1.898e+05
58.2,3.359e+05,1.069e+02,4.471e+02,3.365e+05
59.9,5.466e+05,2.284e+02,8.005e+02,5.476e+05
61.6,6.483e+05,6.062e+02,9.737e+02,6.499e+05
63.3,5.988e+05,1.158e+03,8.509e+02,6.008e+05
65.0,5.025e+05,1.320e+03,6.359e+02,5.044e+05
66.8,4.045e+05,1.346e+03,5.569e+02,4.064e+05
68.5,3.229e+05,1.553e+03,7.070e+02,3.251e+05
70.2,2.657e+05,1.803e+03,8.123e+02,2.683e+05
71.9,2.223e+05,2.091e+03,9.247e+02,2.254e+05
73.6,1.894e+05,2.418e+03,1.291e+03,1.931e+05
75.3,1.625e+05,2.622e+03,1.674e+03,1.668e+05
77.0,1.341e+05,2.408e+03,1.615e+03,1.381e+05
78.7,1.062e+05,1.954e+03,1.269e+03,1.094e+05
80.5,8.082e+04,1.654e+03,1.023e+03,8.350e+04
82.2,5.688e+04,1.437e+03,8.443e+02,5.917e+04
83.9,4.114e+04,1.179e+03,6.654e+02,4.299e+04
85.6,3.271e+04,1.021e+03,5.747e+02,3.431e+04
87.3,2.789e+04,1.120e+03,9.131e+02,2.992e+04
89.0,2.688e+04,2.256e+03,2.410e+03,3.154e+04
90.7,2.726e+04,3.299e+03,3.581e+03,3.414e+04
92.4,2.420e+04,2.954e+03,3.093e+03,3.025e+04
94.1,2.041e+04,2.119e+03,2.216e+03,2.475e+04
95.9,1.696e+04,1.332e+03,1.407e+03,1.969e+04
97.6,1.341e+04,9.419e+02,8.081e+02,1.516e+04
99.3,1.022e+04,6.772e+02,4.273e+02,1.132e+04
101.0,7.612e+03,5.229e+02,1.670e+02,8.302e+03
102.7,5.143e+03,4.691e+02,1.870e+02,5.799e+03
104.4,3.319e+03,5.195e+02,4.683e+02,4.307e+03
106.1,2.296e+03,6.843e+02,7.627e+02,3.743e+03
107.8,1.853e+03,1.140e+03,1.248e+03,4.241e+03
109.6,1.770e+03,2.076e+03,2.173e+03,6.020e+03
111.3,2.409e+03,3.748e+03,3.737e+03,9.894e+03
113.0,3.883e+03,6.784e+03,6.042e+03,1.671e+04
114.7,6.965e+03,1.158e+04,9.168e+03,2.772e+04
116.4,1.119e+04,1.750e+04,1.249e+04,4.117e+04
118.1,1.323e+04,2.067e+04,1.439e+04,4.828e+04
119.8,1.280e+04,2.057e+04,1.567e+04,4.904e+04
121.5,1.426e+04,2.729e+04,2.301e+04,6.455e+04
123.2,1.769e+04,4.279e+04,3.573e+04,9.621e+04
125.0,2.099e+04,6.182e+04,4.948e+04,1.323e+05
126.7,2.218e+04,7.680e+04,5.859e+04,1.576e+05
128.4,2.071e+04,8.428e+04,6.141e+04,1.664e+05
130.1,1.776e+04,8.562e+04,5.963e+04,1.630e+05
131.8,1.433e+04,7.820e+04,5.245e+04,1.450e+05
133.5,6.933e+03,3.325e+04,2.180e+04,6.198e+04
135.2,3.366e+03,9.515e+03,5.778e+03,1.866e+04
136.9,2.731e+03,8.920e+03,5.047e+03,1.670e+04
138.7,2.519e+03,9.134e+03,4.918e+03,1.657e+04
140.4,2.750e+03,9.224e+03,4.814e+03,1.679e+04
142.1,3.108e+03,9.488e+03,4.772e+03,1.737e+04
143.8,3.077e+03,9.793e+03,4.776e+03,1.765e+04
145.5,3.190e+03,1.029e+04,4.756e+03,1.824e+04
147.2,3.768e+03,1.006e+04,4.561e+03,1.839e+04
148.9,5.253e+03,1.101e+04,4.646e+03,2.090e+04
150.6,7.077e+03,1.170e+04,4.117e+03,2.290e+04
152.3,5.717e+03,7.987e+03,2.244e+03,1.595e+04
154.1,2.436e+03,3.775e+03,9.032e+02,7.114e+03
155.8,1.324e+03,2.627e+03,5.638e+02,4.514e+03
157.5,1.159e+03,3.076e+03,4.960e+02,4.731e+03
159.2,1.213e+03,4.326e+03,4.688e+02,6.008e+03
160.9,1.289e+03,5.948e+03,3.430e+02,7.581e+03
162.6,1.456e+03,7.981e+03,1.906e+02,9.628e+03
164.3,1.941e+03,1.034e+04,1.395e+02,1.242e+04
166.0,2.902e+03,1.407e+04,1.672e+02,1.714e+04
167.8,4.808e+03,2.055e+04,2.356e+02,2.559e+04
169.5,8.026e+03,2.999e+04,3.450e+02,3.836e+04
171.2,1.473e+04,4.778e+04,6.064e+02,6.311e+04
172.9,2.553e+04,7.514e+04,1.048e+03,1.017e+05
