freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.310e+01,4.032e+02,3.415e+02,7.778e+02
1.8,3.983e+01,2.431e+02,2.352e+02,5.181e+02
3.6,3.099e+01,1.386e+02,6.045e+01,2.300e+02
5.4,3.265e+01,1.110e+03,6.403e+01,1.206e+03
7.2,3.618e+01,2.628e+03,6.619e+01,2.730e+03
9.0,4.109e+01,4.487e+03,1.254e+02,4.653e+03
10.8,4.606e+01,5.854e+03,2.410e+02,6.141e+03
12.6,4.265e+01,7.553e+03,1.280e+02,7.724e+03
14.4,4.846e+01,1.142e+04,6.433e+01,1.153e+04
16.2,4.567e+01,1.677e+04,6.419e+01,1.688e+04
18.0,4.293e+01,2.523e+04,1.506e+02,2.543e+04
19.8,4.221e+01,3.845e+04,4.776e+02,3.897e+04
21.6,4.788e+01,4.012e+04,1.331e+03,4.150e+04
23.4,6.771e+01,3.088e+04,1.713e+03,3.266e+04
25.2,1.075e+02,4.096e+04,1.431e+03,4.250e+04
27.0,1.328e+02,6.717e+04,6.364e+02,6.794e+04
28.8,1.404e+02,1.151e+05,3.507e+02,1.156e+05
30.6,9.156e+02,2.072e+05,1.730e+03,2.099e+05
32.4,8.299e+03,2.963e+05,9.713e+03,3.143e+05
34.2,2.200e+04,2.488e+05,2.400e+04,2.948e+05
36.0,2.980e+04,2.109e+05,3.187e+04,2.725e+05
37.8,2.481e+04,3.586e+05,4.445e+04,4.278e+05
39.6,1.103e+04,4.672e+05,7.451e+04,5.527e+05
41.4,3.778e+03,3.418e+05,1.078e+05,4.534e+05
43.2,2.047e+03,2.417e+05,1.708e+05,4.145e+05
45.0,1.446e+03,3.038e+05,3.585e+05,6.637e+05
46.8,7.179e+02,4.715e+05,7.331e+05,1.205e+06
48.6,1.408e+03,4.735e+05,9.409e+05,1.416e+06
50.4,1.291e+04,2.914e+05,7.642e+05,1.069e+06
52.2,3.122e+04,1.525e+05,5.461e+05,7.298e+05
54.0,2.489e+04,8.038e+04,4.435e+05,5.488e+05
55.8,1.756e+04,4.382e+04,3.852e+05,4.466e+05
57.6,9.440e+03,3.410e+04,3.167e+05,3.602e+05
59.4,4.947e+03,2.838e+04,2.691e+05,3.024e+05
61.2,1.234e+04,2.033e+04,2.388e+05,2.715e+05
