freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.421e+00,1.166e+02,3.157e+01,1.555e+02
1.8,2.399e+01,8.288e+01,6.184e+01,1.687e+02
3.6,2.569e+01,9.787e+01,5.153e+01,1.751e+02
5.4,2.664e+01,7.014e+02,4.717e+01,7.753e+02
7.2,2.654e+01,1.485e+03,5.209e+01,1.564e+03
9.0,2.650e+01,2.455e+03,5.118e+01,2.533e+03
10.8,3.090e+01,4.093e+03,5.908e+01,4.183e+03
12.6,3.922e+01,5.751e+03,7.444e+01,5.865e+03
14.4,3.432e+01,7.079e+03,1.043e+02,7.218e+03
16.2,3.990e+01,7.677e+03,1.100e+02,7.827e+03
18.0,7.170e+01,9.368e+03,1.719e+02,9.612e+03
19.8,7.507e+01,1.070e+04,2.674e+02,1.105e+04
21.6,8.244e+01,1.562e+04,3.292e+02,1.603e+04
23.4,2.043e+02,2.152e+04,7.804e+02,2.251e+04
25.2,2.884e+02,2.382e+04,9.577e+02,2.507e+04
27.0,2.391e+02,3.498e+04,8.598e+02,3.608e+04
28.8,2.438e+02,6.846e+04,1.891e+03,7.059e+04
30.6,1.024e+03,1.032e+05,8.583e+02,1.051e+05
32.4,2.289e+03,9.720e+04,9.573e+02,1.005e+05
34.2,1.172e+03,7.530e+04,2.990e+03,7.947e+04
36.0,2.975e+02,6.807e+04,5.880e+03,7.424e+04
37.8,4.595e+02,6.693e+04,1.200e+04,7.938e+04
39.6,5.418e+02,5.621e+04,2.301e+04,7.976e+04
41.4,5.367e+02,3.836e+04,2.828e+04,6.718e+04
43.2,3.674e+02,2.186e+04,1.850e+04,4.073e+04
45.0,3.316e+02,1.393e+04,1.190e+04,2.617e+04
46.8,4.188e+02,1.221e+04,1.092e+04,2.354e+04
48.6,3.428e+02,1.100e+04,1.098e+04,2.232e+04
50.4,1.630e+02,1.075e+04,1.468e+04,2.560e+04
52.2,2.515e+02,1.189e+04,2.886e+04,4.100e+04
54.0,7.157e+02,1.008e+04,4.454e+04,5.534e+04
55.8,1.430e+03,7.566e+03,5.257e+04,6.156e+04
57.6,2.050e+03,7.511e+03,5.276e+04,6.232e+04
59.4,2.091e+03,9.773e+03,4.431e+04,5.618e+04
61.2,1.315e+03,1.033e+04,3.238e+04,4.402e+04
63.0,6.614e+02,8.987e+03,2.360e+04,3.325e+04
64.8,4.201e+02,8.369e+03,1.787e+04,2.665e+04
66.6,5.666e+02,9.096e+03,1.380e+04,2.346e+04
68.4,1.312e+03,1.090e+04,1.179e+04,2.400e+04
70.3,2.367e+03,1.263e+04,1.288e+04,2.788e+04
72.1,3.186e+03,1.311e+04,1.449e+04,3.078e+04
73.9,3.902e+03,1.279e+04,1.527e+04,3.196e+04
75.7,3.931e+03,1.187e+04,1.503e+04,3.083e+04
77.5,3.781e+03,1.094e+04,1.426e+04,2.898e+04
79.3,4.749e+03,1.030e+04,1.334e+04,2.839e+04
81.1,4.579e+03,9.362e+03,1.110e+04,2.504e+04
82.9,3.822e+03,8.004e+03,8.890e+03,2.072e+04
84.7,3.993e+03,7.529e+03,7.873e+03,1.940e+04
86.5,4.319e+03,7.278e+03,6.120e+03,1.772e+04
88.3,4.472e+03,6.762e+03,4.704e+03,1.594e+04
90.1,4.593e+03,6.147e+03,3.561e+03,1.430e+04
91.9,4.612e+03,5.271e+03,2.611e+03,1.249e+04
93.7,5.204e+03,4.280e+03,1.989e+03,1.147e+04
95.5,6.505e+03,3.423e+03,1.711e+03,1.164e+04
97.3,8.518e+03,2.754e+03,1.840e+03,1.311e+04
99.1,1.124e+04,2.586e+03,2.298e+03,1.612e+04
100.9,1.380e+04,3.136e+03,2.858e+03,1.980e+04
102.7,1.555e+04,4.587e+03,3.500e+03,2.364e+04
104.5,1.456e+04,6.223e+03,3.990e+03,2.478e+04
106.3,1.200e+04,7.399e+03,4.221e+03,2.362e+04
108.1,9.785e+03,8.156e+03,4.348e+03,2.229e+04
109.9,7.279e+03,8.290e+03,4.114e+03,1.968e+04
111.7,5.405e+03,8.118e+03,3.796e+03,1.732e+04
113.5,4.122e+03,7.897e+03,3.643e+03,1.566e+04
115.3,3.274e+03,7.914e+03,3.814e+03,1.500e+04
117.1,2.603e+03,8.737e+03,4.564e+03,1.590e+04
118.9,1.924e+03,1.000e+04,5.510e+03,1.744e+04
120.7,1.285e+03,1.117e+04,6.141e+03,1.859e+04
122.5,7.227e+02,1.184e+04,6.112e+03,1.868e+04
124.3,4.782e+02,1.180e+04,5.382e+03,1.766e+04
126.1,5.205e+02,1.135e+04,4.273e+03,1.614e+04
127.9,6.973e+02,1.065e+04,3.184e+03,1.453e+04
129.7,8.818e+02,9.824e+03,2.272e+03,1.298e+04
131.5,1.033e+03,8.585e+03,1.620e+03,1.124e+04
133.3,6.838e+02,3.819e+03,8.185e+02,5.321e+03
135.1,5.246e+02,7.596e+02,6.154e+02,1.900e+03
136.9,1.787e+02,2.055e+02,2.017e+02,5.859e+02
138.7,1.298e+02,1.340e+02,1.494e+02,4.132e+02
140.5,7.490e+01,9.250e+01,9.171e+01,2.591e+02
142.3,5.287e+01,8.625e+01,6.565e+01,2.048e+02
144.1,4.541e+01,8.981e+01,5.804e+01,1.933e+02
145.9,4.097e+01,8.880e+01,5.670e+01,1.865e+02
147.7,4.215e+01,8.848e+01,5.872e+01,1.893e+02
149.5,4.252e+01,9.272e+01,6.331e+01,1.985e+02
151.3,3.982e+01,9.088e+01,6.257e+01,1.933e+02
153.1,3.772e+01,8.286e+01,6.449e+01,1.851e+02
154.9,3.516e+01,7.478e+01,6.662e+01,1.766e+02
156.7,3.603e+01,7.365e+01,6.610e+01,1.758e+02
158.5,3.658e+01,7.548e+01,6.671e+01,1.788e+02
