freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.599e+02,1.664e+01,1.248e+01,2.890e+02
1.7,1.970e+02,5.130e+01,4.131e+01,2.896e+02
3.4,1.492e+02,5.278e+01,4.329e+01,2.453e+02
5.1,1.063e+03,5.449e+01,4.381e+01,1.161e+03
6.8,2.667e+03,1.127e+02,4.397e+01,2.824e+03
8.6,4.837e+03,5.909e+02,4.720e+01,5.475e+03
10.3,9.595e+03,8.180e+02,5.095e+01,1.046e+04
12.0,1.054e+04,2.546e+02,6.179e+01,1.085e+04
13.7,5.666e+03,1.524e+02,7.364e+01,5.892e+03
15.4,7.617e+03,2.612e+02,7.895e+01,7.957e+03
17.1,1.114e+04,3.633e+02,1.520e+02,1.165e+04
18.8,1.505e+04,6.853e+02,4.844e+02,1.622e+04
20.5,1.933e+04,7.091e+02,4.189e+02,2.045e+04
22.2,2.361e+04,1.087e+03,3.973e+02,2.509e+04
24.0,2.683e+04,1.364e+03,4.058e+02,2.860e+04
25.7,2.919e+04,1.078e+03,2.550e+02,3.052e+04
27.4,3.283e+04,7.151e+02,1.676e+02,3.371e+04
29.1,3.773e+04,8.252e+02,2.263e+02,3.878e+04
30.8,4.716e+04,1.157e+03,1.194e+02,4.843e+04
32.5,5.608e+04,3.268e+03,1.277e+02,5.948e+04
34.2,5.625e+04,5.946e+03,1.853e+02,6.238e+04
35.9,5.461e+04,6.271e+03,1.983e+02,6.108e+04
37.6,6.841e+04,6.279e+03,2.429e+02,7.494e+04
39.4,8.417e+04,3.964e+03,3.034e+02,8.844e+04
41.1,9.370e+04,1.111e+03,3.116e+02,9.512e+04
42.8,1.196e+05,6.866e+02,2.639e+02,1.206e+05
44.5,1.558e+05,7.762e+02,1.482e+02,1.567e+05
46.2,2.372e+05,1.728e+03,2.541e+02,2.392e+05
47.9,4.107e+05,3.343e+03,5.861e+02,4.147e+05
49.6,5.521e+05,4.599e+03,9.633e+02,5.577e+05
51.3,3.679e+05,3.878e+03,7.236e+02,3.725e+05
53.0,1.376e+05,1.719e+03,3.580e+02,1.397e+05
54.8,1.389e+05,9.972e+02,2.953e+02,1.402e+05
56.5,2.414e+05,1.468e+03,5.297e+02,2.434e+05
58.2,3.175e+05,1.951e+03,7.210e+02,3.202e+05
59.9,3.398e+05,2.463e+03,7.856e+02,3.431e+05
61.6,3.197e+05,3.556e+03,9.172e+02,3.241e+05
63.3,2.686e+05,4.059e+03,9.944e+02,2.736e+05
65.0,2.063e+05,3.238e+03,8.794e+02,2.104e+05
66.7,1.525e+05,2.553e+03,8.323e+02,1.558e+05
68.4,1.159e+05,2.201e+03,7.085e+02,1.189e+05
70.2,9.256e+04,1.983e+03,7.043e+02,9.524e+04
71.9,7.237e+04,1.686e+03,6.865e+02,7.474e+04
73.6,5.839e+04,1.556e+03,1.130e+03,6.108e+04
75.3,5.426e+04,1.855e+03,2.185e+03,5.830e+04
77.0,5.916e+04,2.442e+03,3.317e+03,6.492e+04
78.7,7.117e+04,3.155e+03,4.265e+03,7.859e+04
80.4,7.579e+04,3.314e+03,4.459e+03,8.357e+04
82.1,6.295e+04,2.979e+03,3.944e+03,6.987e+04
83.8,4.986e+04,2.693e+03,3.549e+03,5.610e+04
85.6,4.380e+04,3.075e+03,4.211e+03,5.109e+04
87.3,4.148e+04,4.830e+03,7.132e+03,5.345e+04
89.0,3.912e+04,6.270e+03,9.398e+03,5.479e+04
90.7,3.403e+04,5.177e+03,7.905e+03,4.711e+04
92.4,2.970e+04,3.373e+03,5.536e+03,3.861e+04
94.1,2.585e+04,1.999e+03,3.641e+03,3.149e+04
95.8,2.166e+04,1.264e+03,2.428e+03,2.535e+04
