freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.679e+00,1.699e+02,5.458e+00,1.811e+02
1.7,1.106e+01,1.002e+02,1.620e+01,1.275e+02
3.5,1.106e+01,7.775e+01,1.783e+01,1.066e+02
5.2,1.402e+01,8.564e+02,2.287e+01,8.932e+02
6.9,2.501e+01,2.093e+03,2.721e+01,2.145e+03
8.7,4.849e+01,3.283e+03,3.447e+01,3.366e+03
10.4,6.731e+01,4.718e+03,4.210e+01,4.827e+03
12.1,9.538e+01,6.469e+03,3.149e+01,6.596e+03
13.9,1.137e+02,8.803e+03,3.353e+01,8.950e+03
15.6,1.603e+02,1.114e+04,3.897e+01,1.134e+04
17.3,1.900e+02,1.374e+04,4.450e+01,1.397e+04
19.1,2.262e+02,1.689e+04,7.848e+01,1.720e+04
20.8,3.461e+02,2.037e+04,2.716e+02,2.099e+04
22.5,4.267e+02,2.335e+04,5.488e+02,2.433e+04
24.3,4.529e+02,2.848e+04,6.690e+02,2.960e+04
26.0,5.537e+02,3.135e+04,7.300e+02,3.264e+04
27.7,6.887e+02,2.811e+04,5.996e+02,2.940e+04
29.5,8.753e+02,2.569e+04,4.875e+02,2.706e+04
31.2,1.347e+03,2.687e+04,7.370e+02,2.896e+04
32.9,1.719e+03,2.610e+04,1.182e+03,2.900e+04
34.7,1.480e+03,2.619e+04,1.404e+03,2.907e+04
36.4,1.285e+03,3.234e+04,1.761e+03,3.539e+04
38.1,9.069e+02,4.403e+04,1.823e+03,4.677e+04
39.9,4.268e+02,5.324e+04,1.157e+03,5.483e+04
41.6,1.267e+02,5.972e+04,3.913e+02,6.024e+04
43.3,8.007e+01,7.809e+04,1.710e+02,7.834e+04
45.1,5.652e+01,8.990e+04,1.972e+02,9.016e+04
46.8,5.659e+01,8.824e+04,1.888e+02,8.848e+04
48.5,1.357e+02,1.248e+05,1.140e+02,1.250e+05
50.3,4.071e+02,2.090e+05,8.970e+01,2.095e+05
52.0,1.299e+03,3.112e+05,1.971e+02,3.127e+05
53.7,9.261e+02,2.071e+05,2.285e+02,2.083e+05
55.5,1.823e+02,4.894e+04,2.524e+02,4.938e+04
57.2,4.656e+02,4.302e+04,8.583e+02,4.435e+04
59.0,9.681e+02,6.868e+04,2.344e+03,7.199e+04
60.7,7.692e+02,1.044e+05,3.409e+03,1.086e+05
62.4,2.786e+02,1.871e+05,3.689e+03,1.910e+05
64.2,8.743e+01,2.853e+05,3.657e+03,2.891e+05
65.9,1.200e+02,3.137e+05,3.164e+03,3.169e+05
67.6,2.472e+02,2.731e+05,2.521e+03,2.758e+05
69.4,4.941e+02,2.101e+05,2.072e+03,2.127e+05
71.1,8.678e+02,1.496e+05,1.805e+03,1.523e+05
72.8,1.289e+03,9.870e+04,1.565e+03,1.015e+05
74.6,1.577e+03,6.880e+04,1.267e+03,7.164e+04
76.3,1.662e+03,5.631e+04,9.395e+02,5.891e+04
78.0,1.550e+03,4.529e+04,6.457e+02,4.748e+04
79.8,1.674e+03,3.276e+04,5.416e+02,3.497e+04
81.5,2.320e+03,2.294e+04,7.076e+02,2.597e+04
