freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.006e+01,3.050e+02,1.898e+02,5.249e+02
1.7,2.559e+01,1.753e+02,1.223e+02,3.232e+02
3.5,1.272e+01,7.390e+01,2.051e+01,1.071e+02
5.2,2.721e+01,8.181e+02,2.156e+01,8.669e+02
6.9,5.087e+01,2.060e+03,2.139e+01,2.132e+03
8.7,7.898e+01,3.435e+03,3.044e+01,3.545e+03
10.4,1.115e+02,5.140e+03,3.907e+01,5.291e+03
12.1,1.722e+02,7.713e+03,4.992e+01,7.935e+03
13.9,2.491e+02,1.094e+04,9.649e+01,1.128e+04
15.6,3.735e+02,1.419e+04,1.652e+02,1.473e+04
17.3,5.028e+02,1.940e+04,3.250e+02,2.022e+04
19.1,7.081e+02,2.658e+04,7.273e+02,2.802e+04
20.8,6.584e+02,2.945e+04,1.071e+03,3.118e+04
22.5,3.810e+02,2.977e+04,1.019e+03,3.117e+04
24.3,2.633e+02,3.624e+04,8.632e+02,3.737e+04
26.0,7.429e+02,5.301e+04,1.207e+03,5.496e+04
27.7,2.008e+03,7.960e+04,2.553e+03,8.416e+04
29.5,3.023e+03,1.285e+05,6.804e+03,1.383e+05
31.2,4.509e+03,2.451e+05,2.549e+04,2.751e+05
32.9,5.804e+03,4.302e+05,9.115e+04,5.271e+05
34.7,3.709e+03,4.138e+05,1.514e+05,5.689e+05
36.4,2.085e+03,2.895e+05,1.655e+05,4.571e+05
38.1,5.313e+03,2.730e+05,1.566e+05,4.349e+05
39.9,9.100e+03,3.428e+05,1.385e+05,4.904e+05
41.6,9.347e+03,3.420e+05,1.473e+05,4.986e+05
43.4,8.786e+03,2.499e+05,1.732e+05,4.319e+05
45.1,8.607e+03,1.620e+05,2.058e+05,3.765e+05
46.8,6.362e+03,9.846e+04,2.504e+05,3.553e+05
48.6,2.179e+04,5.430e+04,3.077e+05,3.838e+05
50.3,7.563e+04,2.939e+04,2.925e+05,3.975e+05
52.0,8.031e+04,1.912e+04,1.919e+05,2.913e+05
53.8,3.993e+04,1.687e+04,1.858e+05,2.426e+05
55.5,2.023e+04,2.728e+04,2.368e+05,2.843e+05
57.2,1.156e+04,5.229e+04,2.307e+05,2.945e+05
59.0,3.000e+04,6.689e+04,1.475e+05,2.444e+05
60.7,3.777e+04,5.765e+04,1.053e+05,2.007e+05
62.4,3.602e+04,4.558e+04,9.427e+04,1.759e+05
