freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.141e+02,1.994e+02,6.709e+00,3.203e+02
1.7,5.871e+02,1.302e+02,1.797e+01,7.353e+02
3.5,7.689e+02,9.394e+01,2.057e+01,8.834e+02
5.2,8.303e+02,8.124e+02,2.200e+01,1.665e+03
6.9,9.266e+02,1.912e+03,2.194e+01,2.861e+03
8.7,8.972e+02,2.885e+03,2.361e+01,3.805e+03
10.4,9.464e+02,4.341e+03,4.393e+01,5.331e+03
12.1,9.634e+02,6.100e+03,1.284e+02,7.191e+03
13.9,8.847e+02,8.510e+03,7.147e+01,9.467e+03
15.6,8.697e+02,1.321e+04,2.702e+01,1.411e+04
17.3,8.880e+02,1.821e+04,8.135e+01,1.918e+04
19.1,9.465e+02,1.353e+04,1.905e+02,1.467e+04
20.8,9.019e+02,1.183e+04,2.208e+02,1.295e+04
22.6,9.058e+02,1.477e+04,2.683e+02,1.594e+04
24.3,8.801e+02,1.703e+04,4.547e+02,1.836e+04
26.0,8.813e+02,1.607e+04,3.687e+02,1.732e+04
27.8,9.404e+02,1.660e+04,2.388e+02,1.778e+04
29.5,9.925e+02,1.319e+04,1.360e+02,1.432e+04
31.2,1.191e+03,1.479e+04,1.231e+02,1.610e+04
33.0,1.395e+03,2.071e+04,2.437e+02,2.235e+04
34.7,1.420e+03,2.333e+04,3.862e+02,2.514e+04
36.4,1.469e+03,3.057e+04,5.680e+02,3.260e+04
38.2,1.467e+03,4.459e+04,6.939e+02,4.675e+04
39.9,1.464e+03,6.312e+04,8.629e+02,6.544e+04
41.6,1.579e+03,6.138e+04,1.042e+03,6.400e+04
43.4,1.439e+03,4.807e+04,9.552e+02,5.047e+04
45.1,1.253e+03,5.501e+04,7.159e+02,5.698e+04
46.8,1.316e+03,8.256e+04,5.294e+02,8.441e+04
48.6,1.294e+03,1.382e+05,4.762e+02,1.399e+05
50.3,1.231e+03,2.349e+05,2.804e+02,2.364e+05
52.0,1.709e+03,3.646e+05,1.625e+02,3.665e+05
53.8,2.134e+03,3.326e+05,1.658e+02,3.349e+05
55.5,2.130e+03,2.182e+05,3.197e+02,2.206e+05
57.2,2.012e+03,1.191e+05,4.430e+02,1.215e+05
59.0,1.637e+03,7.810e+04,5.223e+02,8.026e+04
60.7,1.350e+03,9.498e+04,9.667e+02,9.730e+04
62.5,1.293e+03,1.581e+05,2.198e+03,1.615e+05
64.2,1.158e+03,2.260e+05,3.603e+03,2.308e+05
65.9,1.007e+03,2.490e+05,3.634e+03,2.537e+05
67.7,9.180e+02,2.468e+05,2.501e+03,2.503e+05
69.4,8.792e+02,2.359e+05,1.457e+03,2.382e+05
71.1,8.722e+02,2.195e+05,8.222e+02,2.211e+05
72.9,8.353e+02,1.856e+05,4.439e+02,1.869e+05
74.6,8.405e+02,1.282e+05,2.581e+02,1.293e+05
76.3,8.037e+02,1.048e+05,2.544e+02,1.059e+05
78.1,8.230e+02,9.316e+04,3.444e+02,9.433e+04
79.8,9.171e+02,8.152e+04,4.895e+02,8.292e+04
