freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.656e+02,1.036e+01,1.114e+01,1.871e+02
1.7,1.187e+02,3.098e+01,4.483e+01,1.945e+02
3.4,8.896e+01,3.472e+01,5.328e+01,1.770e+02
5.1,8.252e+02,3.627e+01,5.367e+01,9.151e+02
6.8,2.039e+03,3.819e+01,4.911e+01,2.126e+03
8.6,3.083e+03,4.224e+01,4.985e+01,3.176e+03
10.3,4.284e+03,4.691e+01,4.708e+01,4.378e+03
12.0,5.416e+03,5.015e+01,6.427e+01,5.530e+03
13.7,6.382e+03,6.516e+01,1.707e+02,6.617e+03
15.4,8.316e+03,7.113e+01,3.906e+02,8.778e+03
17.1,1.077e+04,7.036e+01,2.108e+02,1.105e+04
18.8,1.195e+04,9.735e+01,8.682e+01,1.214e+04
20.5,1.124e+04,1.898e+02,9.070e+01,1.152e+04
22.2,1.260e+04,2.120e+02,7.822e+01,1.289e+04
23.9,1.474e+04,1.880e+02,8.954e+01,1.502e+04
25.7,1.644e+04,1.374e+02,1.049e+02,1.668e+04
27.4,1.830e+04,2.498e+02,1.112e+02,1.866e+04
29.1,2.060e+04,6.592e+02,1.554e+02,2.141e+04
30.8,2.267e+04,1.910e+02,8.209e+01,2.294e+04
32.5,2.478e+04,6.125e+01,6.291e+01,2.491e+04
34.2,2.785e+04,6.394e+01,6.624e+01,2.798e+04
35.9,3.117e+04,7.795e+01,7.297e+01,3.132e+04
37.6,3.549e+04,9.816e+01,1.048e+02,3.569e+04
39.3,4.006e+04,1.708e+02,1.284e+02,4.036e+04
41.0,4.728e+04,5.461e+02,2.375e+02,4.807e+04
42.8,5.505e+04,1.398e+03,4.378e+02,5.689e+04
44.5,5.120e+04,2.212e+03,6.240e+02,5.404e+04
46.2,4.317e+04,3.845e+03,9.219e+02,4.794e+04
47.9,3.840e+04,5.313e+03,1.070e+03,4.478e+04
49.6,3.591e+04,4.989e+03,9.317e+02,4.183e+04
51.3,3.913e+04,4.170e+03,6.725e+02,4.397e+04
53.0,4.951e+04,3.949e+03,5.408e+02,5.400e+04
54.7,6.445e+04,4.145e+03,4.958e+02,6.909e+04
56.4,7.815e+04,4.159e+03,4.600e+02,8.277e+04
58.1,8.816e+04,3.666e+03,4.273e+02,9.225e+04
59.9,1.159e+05,3.256e+03,4.229e+02,1.196e+05
61.6,1.568e+05,2.616e+03,4.708e+02,1.599e+05
63.3,1.744e+05,1.955e+03,4.879e+02,1.768e+05
65.0,1.592e+05,2.186e+03,6.855e+02,1.621e+05
66.7,1.343e+05,2.065e+03,7.203e+02,1.371e+05
68.4,1.103e+05,1.765e+03,6.912e+02,1.128e+05
70.1,1.098e+05,1.643e+03,7.624e+02,1.122e+05
71.8,1.220e+05,1.806e+03,9.943e+02,1.248e+05
73.5,1.549e+05,2.365e+03,1.891e+03,1.592e+05
75.2,2.045e+05,3.001e+03,3.452e+03,2.110e+05
77.0,2.691e+05,2.819e+03,3.864e+03,2.758e+05
78.7,3.213e+05,3.964e+03,4.837e+03,3.301e+05
80.4,3.381e+05,6.200e+03,6.519e+03,3.508e+05
82.1,3.198e+05,8.234e+03,7.715e+03,3.357e+05
83.8,3.140e+05,9.994e+03,8.537e+03,3.325e+05
85.5,3.208e+05,1.138e+04,9.742e+03,3.419e+05
87.2,3.191e+05,1.148e+04,1.091e+04,3.415e+05
88.9,3.107e+05,1.232e+04,1.066e+04,3.337e+05
90.6,2.648e+05,1.098e+04,8.279e+03,2.841e+05
92.3,2.174e+05,9.466e+03,6.138e+03,2.330e+05
94.1,1.895e+05,9.624e+03,4.806e+03,2.039e+05
95.8,1.652e+05,1.026e+04,4.035e+03,1.795e+05
97.5,1.305e+05,1.031e+04,3.547e+03,1.444e+05
99.2,1.005e+05,1.104e+04,2.902e+03,1.144e+05
100.9,8.037e+04,1.242e+04,2.386e+03,9.518e+04
102.6,6.639e+04,1.208e+04,2.477e+03,8.095e+04
104.3,5.488e+04,1.090e+04,2.579e+03,6.836e+04
106.0,4.906e+04,9.722e+03,2.659e+03,6.144e+04
107.7,4.161e+04,8.709e+03,2.680e+03,5.300e+04
109.4,3.257e+04,8.116e+03,2.407e+03,4.310e+04
111.2,2.516e+04,7.596e+03,2.126e+03,3.488e+04
112.9,1.932e+04,7.157e+03,1.847e+03,2.832e+04
114.6,1.470e+04,6.938e+03,1.645e+03,2.328e+04
116.3,1.131e+04,6.723e+03,1.552e+03,1.959e+04
118.0,9.365e+03,6.549e+03,1.698e+03,1.761e+04
119.7,8.027e+03,6.665e+03,2.326e+03,1.702e+04
121.4,6.494e+03,6.398e+03,3.096e+03,1.599e+04
123.1,5.066e+03,5.449e+03,3.764e+03,1.428e+04
124.8,3.881e+03,4.638e+03,4.518e+03,1.304e+04
126.5,2.896e+03,4.033e+03,4.964e+03,1.189e+04
128.3,2.067e+03,3.682e+03,5.044e+03,1.079e+04
130.0,1.668e+03,3.653e+03,5.086e+03,1.041e+04
131.7,1.500e+03,3.660e+03,4.591e+03,9.750e+03
133.4,3.908e+03,9.363e+03,3.346e+03,1.662e+04
135.1,1.417e+04,3.376e+04,7.193e+03,5.513e+04
136.8,7.171e+03,1.412e+04,2.900e+03,2.419e+04
138.5,2.240e+03,3.854e+03,7.590e+02,6.853e+03
140.2,6.297e+02,1.117e+03,2.512e+02,1.998e+03
141.9,5.671e+02,1.171e+03,2.141e+02,1.952e+03
143.7,5.877e+02,1.434e+03,2.034e+02,2.225e+03
145.4,5.860e+02,1.632e+03,1.935e+02,2.412e+03
147.1,6.037e+02,1.886e+03,2.141e+02,2.704e+03
148.8,6.559e+02,2.310e+03,2.717e+02,3.237e+03
150.5,7.083e+02,2.755e+03,3.295e+02,3.793e+03
152.2,7.653e+02,2.818e+03,3.429e+02,3.927e+03
153.9,8.332e+02,2.852e+03,4.265e+02,4.112e+03
155.6,9.091e+02,2.872e+03,4.978e+02,4.279e+03
157.3,1.084e+03,2.929e+03,6.668e+02,4.680e+03
159.0,1.265e+03,2.883e+03,8.471e+02,4.994e+03
160.8,1.335e+03,2.583e+03,1.020e+03,4.938e+03
162.5,1.255e+03,2.214e+03,1.307e+03,4.776e+03
164.2,1.032e+03,2.040e+03,1.585e+03,4.657e+03
165.9,8.949e+02,2.068e+03,1.789e+03,4.753e+03
167.6,9.102e+02,2.043e+03,1.692e+03,4.644e+03
169.3,9.693e+02,1.959e+03,1.458e+03,4.387e+03
171.0,1.133e+03,2.147e+03,1.161e+03,4.441e+03
172.7,1.635e+03,2.941e+03,1.032e+03,5.608e+03
174.4,1.861e+03,2.953e+03,9.700e+02,5.783e+03
176.1,1.921e+03,2.685e+03,8.753e+02,5.481e+03
177.9,1.786e+03,2.177e+03,7.295e+02,4.693e+03
179.6,1.440e+03,1.614e+03,5.644e+02,3.618e+03
181.3,1.077e+03,1.155e+03,4.616e+02,2.694e+03
183.0,8.008e+02,9.114e+02,4.020e+02,2.114e+03
184.7,6.306e+02,8.857e+02,4.260e+02,1.942e+03
186.4,7.848e+02,1.078e+03,5.895e+02,2.452e+03
188.1,1.553e+03,1.751e+03,9.819e+02,4.286e+03
189.8,2.595e+03,2.700e+03,1.554e+03,6.849e+03
191.5,3.628e+03,3.784e+03,2.165e+03,9.577e+03
193.2,5.312e+03,5.070e+03,3.133e+03,1.352e+04
195.0,7.171e+03,6.285e+03,4.031e+03,1.749e+04
196.7,7.986e+03,6.349e+03,4.416e+03,1.875e+04
198.4,8.614e+03,6.098e+03,4.738e+03,1.945e+04
