freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.077e+01,1.067e+03,7.974e+01,1.238e+03
1.7,5.826e+01,6.013e+02,6.447e+01,7.241e+02
3.4,1.330e+01,9.892e+01,2.727e+01,1.395e+02
5.1,3.662e+01,1.222e+03,2.699e+01,1.285e+03
6.8,2.282e+02,2.398e+03,2.723e+01,2.653e+03
8.6,3.298e+02,2.343e+03,3.069e+01,2.704e+03
10.3,1.187e+02,3.356e+03,3.417e+01,3.509e+03
12.0,2.747e+01,5.248e+03,3.412e+01,5.310e+03
13.7,1.799e+01,7.472e+03,3.865e+01,7.529e+03
15.4,1.524e+01,1.088e+04,4.673e+01,1.094e+04
17.1,1.664e+01,1.626e+04,5.061e+01,1.633e+04
18.8,2.250e+01,2.513e+04,5.544e+01,2.521e+04
20.5,3.521e+01,4.037e+04,7.995e+01,4.049e+04
22.2,9.143e+01,5.967e+04,1.222e+02,5.989e+04
23.9,2.225e+02,8.430e+04,1.061e+02,8.463e+04
25.7,4.456e+02,1.443e+05,1.091e+02,1.449e+05
27.4,9.362e+02,3.030e+05,2.117e+02,3.041e+05
29.1,1.992e+03,7.381e+05,7.091e+02,7.408e+05
30.8,4.979e+03,1.810e+06,2.831e+03,1.818e+06
32.5,6.548e+03,2.194e+06,4.698e+03,2.205e+06
34.2,4.485e+03,1.336e+06,3.821e+03,1.344e+06
35.9,2.804e+03,7.236e+05,2.836e+03,7.293e+05
37.6,1.954e+03,4.607e+05,2.476e+03,4.651e+05
39.3,1.530e+03,3.302e+05,2.268e+03,3.340e+05
41.1,1.445e+03,2.574e+05,2.222e+03,2.610e+05
42.8,1.532e+03,2.145e+05,2.461e+03,2.185e+05
44.5,1.802e+03,1.885e+05,3.113e+03,1.934e+05
46.2,2.267e+03,1.801e+05,4.241e+03,1.866e+05
47.9,3.116e+03,1.841e+05,5.897e+03,1.932e+05
49.6,4.597e+03,1.936e+05,8.645e+03,2.069e+05
51.3,7.212e+03,2.092e+05,1.477e+04,2.312e+05
53.0,9.692e+03,2.256e+05,2.282e+04,2.581e+05
54.7,9.182e+03,2.369e+05,1.763e+04,2.637e+05
56.4,1.014e+04,2.607e+05,7.111e+03,2.779e+05
58.2,1.845e+04,3.185e+05,7.086e+03,3.440e+05
59.9,5.750e+04,4.574e+05,1.965e+04,5.346e+05
61.6,1.440e+05,7.017e+05,4.290e+04,8.886e+05
63.3,2.210e+05,8.018e+05,5.683e+04,1.080e+06
65.0,2.823e+05,6.670e+05,6.825e+04,1.018e+06
66.7,3.808e+05,5.392e+05,8.279e+04,1.003e+06
68.4,4.453e+05,4.325e+05,8.352e+04,9.613e+05
70.1,5.187e+05,2.838e+05,3.242e+05,1.127e+06
71.8,5.370e+05,2.778e+05,8.821e+05,1.697e+06
73.6,3.992e+05,5.649e+05,9.146e+05,1.879e+06
75.3,2.503e+05,7.716e+05,6.520e+05,1.674e+06
77.0,1.416e+05,7.883e+05,4.174e+05,1.347e+06
78.7,8.033e+04,7.086e+05,2.465e+05,1.035e+06
80.4,5.610e+04,5.927e+05,1.351e+05,7.840e+05
82.1,4.720e+04,4.421e+05,6.580e+04,5.551e+05
83.8,5.195e+04,3.136e+05,2.839e+04,3.940e+05
85.5,6.295e+04,2.272e+05,1.475e+04,3.049e+05
87.2,7.608e+04,1.655e+05,1.905e+04,2.606e+05
88.9,6.569e+04,1.223e+05,1.943e+04,2.074e+05
90.7,3.538e+04,9.102e+04,1.074e+04,1.371e+05
92.4,1.849e+04,7.275e+04,6.090e+03,9.733e+04
94.1,9.923e+03,5.473e+04,2.487e+03,6.714e+04
95.8,5.960e+03,3.877e+04,1.198e+03,4.593e+04
97.5,4.540e+03,4.076e+04,4.888e+03,5.019e+04
99.2,6.262e+03,7.115e+04,1.197e+04,8.938e+04
100.9,9.384e+03,9.833e+04,1.592e+04,1.236e+05
102.6,1.025e+04,9.921e+04,1.566e+04,1.251e+05
104.3,9.164e+03,9.005e+04,1.362e+04,1.128e+05
106.1,8.519e+03,8.546e+04,1.205e+04,1.060e+05
107.8,8.581e+03,8.535e+04,1.077e+04,1.047e+05
109.5,8.684e+03,8.403e+04,8.940e+03,1.017e+05
111.2,1.137e+04,8.657e+04,8.460e+03,1.064e+05
112.9,1.646e+04,8.624e+04,7.407e+03,1.101e+05
114.6,1.805e+04,7.889e+04,6.221e+03,1.032e+05
116.3,1.427e+04,7.602e+04,4.969e+03,9.526e+04
118.0,1.017e+04,7.862e+04,3.824e+03,9.261e+04
119.7,7.990e+03,7.535e+04,2.857e+03,8.619e+04
121.4,6.927e+03,6.880e+04,2.501e+03,7.823e+04
123.2,7.001e+03,6.204e+04,3.635e+03,7.268e+04
124.9,7.926e+03,5.253e+04,6.234e+03,6.669e+04
126.6,9.502e+03,3.880e+04,9.240e+03,5.754e+04
128.3,1.218e+04,2.169e+04,1.312e+04,4.699e+04
130.0,1.499e+04,1.004e+04,1.628e+04,4.131e+04
131.7,1.603e+04,6.941e+03,1.437e+04,3.734e+04
133.4,8.100e+03,3.241e+03,6.200e+03,1.754e+04
135.1,1.198e+03,9.801e+02,8.958e+02,3.073e+03
136.8,7.535e+02,3.925e+02,6.026e+02,1.749e+03
138.6,5.938e+02,2.381e+02,4.180e+02,1.250e+03
140.3,6.240e+02,2.833e+02,4.473e+02,1.355e+03
142.0,8.663e+02,6.612e+02,6.843e+02,2.212e+03
143.7,1.086e+03,1.708e+03,9.163e+02,3.710e+03
145.4,9.851e+02,2.307e+03,9.844e+02,4.277e+03
147.1,7.879e+02,3.502e+03,1.211e+03,5.501e+03
148.8,5.841e+02,4.166e+03,1.293e+03,6.043e+03
150.5,3.532e+02,3.864e+03,1.075e+03,5.292e+03
152.2,2.094e+02,3.654e+03,7.796e+02,4.643e+03
153.9,1.199e+02,3.892e+03,5.829e+02,4.595e+03
155.7,7.066e+01,4.610e+03,4.806e+02,5.161e+03
157.4,5.086e+01,5.540e+03,4.036e+02,5.995e+03
159.1,4.754e+01,6.418e+03,3.386e+02,6.804e+03
160.8,6.842e+01,7.191e+03,2.941e+02,7.553e+03
162.5,1.286e+02,7.000e+03,2.163e+02,7.345e+03
164.2,2.821e+02,7.274e+03,1.768e+02,7.733e+03
165.9,6.586e+02,7.587e+03,1.811e+02,8.426e+03
167.6,1.225e+03,5.350e+03,1.554e+02,6.730e+03
169.3,1.610e+03,2.731e+03,1.102e+02,4.451e+03
171.1,1.879e+03,1.725e+03,6.936e+01,3.673e+03
172.8,1.937e+03,1.382e+03,5.930e+01,3.378e+03
174.5,1.659e+03,1.294e+03,5.676e+01,3.009e+03
176.2,1.233e+03,1.212e+03,5.815e+01,2.503e+03
177.9,9.058e+02,9.159e+02,6.210e+01,1.884e+03
179.6,6.266e+02,8.739e+02,6.576e+01,1.566e+03
181.3,3.406e+02,1.614e+03,6.964e+01,2.024e+03
183.0,2.547e+02,1.890e+03,7.176e+01,2.217e+03
184.7,3.243e+02,1.270e+03,8.533e+01,1.680e+03
186.4,4.237e+02,5.123e+02,1.514e+02,1.087e+03
188.2,6.613e+02,2.096e+02,1.737e+02,1.045e+03
189.9,1.258e+03,4.688e+02,1.787e+02,1.905e+03
191.6,1.901e+03,8.034e+02,1.758e+02,2.880e+03
193.3,2.103e+03,6.856e+02,1.542e+02,2.942e+03
195.0,2.686e+03,8.151e+02,2.350e+02,3.736e+03
196.7,3.774e+03,1.267e+03,3.111e+02,5.352e+03
198.4,4.267e+03,1.269e+03,2.190e+02,5.755e+03
