freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.533e+01,3.196e+02,1.844e+02,5.293e+02
1.8,4.568e+01,2.205e+02,1.472e+02,4.133e+02
3.6,4.301e+01,1.559e+02,6.359e+01,2.625e+02
5.4,4.211e+01,1.095e+03,6.845e+01,1.206e+03
7.2,4.233e+01,2.522e+03,7.335e+01,2.638e+03
9.0,4.591e+01,4.315e+03,1.152e+02,4.476e+03
10.8,6.111e+01,6.073e+03,3.592e+02,6.494e+03
12.6,7.050e+01,6.582e+03,2.939e+02,6.946e+03
14.4,8.747e+01,9.429e+03,1.080e+02,9.625e+03
16.2,6.850e+01,1.399e+04,7.986e+01,1.414e+04
18.0,5.646e+01,2.117e+04,1.025e+02,2.133e+04
19.8,6.784e+01,3.123e+04,2.241e+02,3.152e+04
21.6,8.471e+01,3.522e+04,4.315e+02,3.573e+04
23.4,8.105e+01,2.510e+04,8.255e+02,2.601e+04
25.2,7.837e+01,2.343e+04,1.178e+03,2.469e+04
27.0,8.780e+01,3.711e+04,1.550e+03,3.875e+04
28.8,8.865e+01,6.494e+04,3.413e+03,6.844e+04
30.6,1.316e+02,1.127e+05,1.550e+03,1.144e+05
32.4,9.079e+02,1.966e+05,1.196e+03,1.987e+05
34.2,2.583e+03,2.656e+05,4.081e+03,2.723e+05
36.0,2.136e+03,2.484e+05,8.376e+03,2.590e+05
37.8,1.536e+03,1.858e+05,1.618e+04,2.035e+05
39.6,2.231e+03,1.832e+05,4.542e+04,2.308e+05
41.4,1.874e+03,3.247e+05,7.989e+04,4.065e+05
43.2,7.816e+02,2.980e+05,7.848e+04,3.772e+05
45.0,2.916e+02,2.128e+05,8.136e+04,2.944e+05
46.8,2.903e+02,1.901e+05,1.218e+05,3.121e+05
48.6,1.011e+03,2.089e+05,2.173e+05,4.272e+05
50.4,3.104e+03,1.823e+05,2.800e+05,4.653e+05
52.2,9.431e+03,1.534e+05,2.752e+05,4.380e+05
54.0,1.443e+04,1.653e+05,2.177e+05,3.974e+05
55.8,1.284e+04,1.364e+05,1.959e+05,3.451e+05
57.6,7.030e+03,1.012e+05,1.971e+05,3.053e+05
59.4,7.276e+03,9.491e+04,2.600e+05,3.622e+05
61.2,2.827e+04,1.013e+05,2.564e+05,3.860e+05
63.0,4.442e+04,1.027e+05,1.434e+05,2.905e+05
64.8,3.865e+04,8.185e+04,1.022e+05,2.227e+05
66.6,2.982e+04,6.205e+04,1.252e+05,2.171e+05
68.4,2.672e+04,4.602e+04,1.643e+05,2.371e+05
70.2,2.820e+04,3.740e+04,2.013e+05,2.669e+05
72.0,3.399e+04,3.347e+04,2.397e+05,3.072e+05
73.8,4.413e+04,3.197e+04,2.732e+05,3.493e+05
75.6,5.812e+04,3.038e+04,2.757e+05,3.642e+05
77.4,6.919e+04,2.646e+04,2.304e+05,3.260e+05
79.2,7.059e+04,2.156e+04,1.902e+05,2.824e+05
81.0,6.598e+04,2.671e+04,2.453e+05,3.380e+05
82.8,4.271e+04,5.665e+04,3.860e+05,4.853e+05
84.6,1.328e+04,8.455e+04,4.282e+05,5.260e+05
86.4,2.430e+03,8.659e+04,3.747e+05,4.638e+05
88.2,7.298e+02,8.145e+04,3.370e+05,4.192e+05
