freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.778e+02,1.633e+01,1.456e+01,4.087e+02
1.7,2.454e+02,3.986e+01,3.931e+01,3.246e+02
3.4,1.273e+02,3.882e+01,4.245e+01,2.086e+02
5.1,9.569e+02,4.265e+01,4.463e+01,1.044e+03
6.9,2.404e+03,4.845e+01,4.397e+01,2.496e+03
8.6,3.863e+03,5.607e+01,4.500e+01,3.964e+03
10.3,6.050e+03,1.584e+02,4.449e+01,6.253e+03
12.0,9.941e+03,2.514e+02,4.579e+01,1.024e+04
13.7,1.291e+04,1.223e+02,4.990e+01,1.308e+04
15.4,6.745e+03,1.009e+02,4.964e+01,6.896e+03
17.1,6.304e+03,9.032e+01,4.658e+01,6.441e+03
18.8,9.798e+03,9.596e+01,4.386e+01,9.938e+03
20.6,1.309e+04,1.129e+02,4.820e+01,1.325e+04
22.3,1.634e+04,1.326e+02,5.852e+01,1.653e+04
24.0,2.002e+04,1.251e+02,8.065e+01,2.023e+04
25.7,2.339e+04,1.925e+02,1.371e+02,2.371e+04
27.4,2.620e+04,9.529e+02,6.404e+02,2.779e+04
29.1,2.927e+04,2.938e+03,2.024e+03,3.424e+04
30.8,3.384e+04,1.174e+03,4.973e+02,3.551e+04
32.5,4.343e+04,1.610e+03,1.337e+02,4.518e+04
34.3,5.109e+04,3.610e+03,1.509e+02,5.485e+04
36.0,4.050e+04,3.251e+03,8.784e+01,4.384e+04
37.7,3.714e+04,1.177e+03,6.500e+01,3.838e+04
39.4,4.571e+04,2.596e+02,7.639e+01,4.604e+04
41.1,6.083e+04,9.061e+01,8.256e+01,6.100e+04
42.8,7.985e+04,1.404e+02,6.403e+01,8.005e+04
44.5,9.912e+04,2.997e+02,5.840e+01,9.948e+04
46.2,1.309e+05,5.841e+02,5.601e+01,1.315e+05
48.0,1.797e+05,9.316e+02,4.966e+01,1.807e+05
49.7,2.421e+05,1.342e+03,5.059e+01,2.435e+05
51.4,3.697e+05,1.509e+03,1.421e+02,3.714e+05
53.1,5.649e+05,1.216e+03,7.219e+02,5.668e+05
54.8,7.491e+05,7.838e+02,9.313e+02,7.508e+05
56.5,9.001e+05,4.965e+02,5.931e+02,9.012e+05
58.2,7.244e+05,2.495e+02,3.908e+02,7.251e+05
59.9,5.737e+05,6.978e+02,2.894e+02,5.747e+05
61.7,4.459e+05,1.857e+03,1.708e+02,4.479e+05
63.4,3.142e+05,2.777e+03,8.951e+01,3.170e+05
65.1,3.636e+05,3.818e+03,7.453e+01,3.675e+05
66.8,5.226e+05,4.603e+03,1.020e+02,5.273e+05
68.5,6.033e+05,4.759e+03,1.766e+02,6.083e+05
70.2,6.081e+05,4.987e+03,2.585e+02,6.133e+05
71.9,5.541e+05,5.208e+03,2.899e+02,5.596e+05
73.7,4.708e+05,5.033e+03,2.899e+02,4.761e+05
75.4,3.841e+05,4.228e+03,3.676e+02,3.887e+05
77.1,3.061e+05,3.191e+03,6.548e+02,3.099e+05
78.8,2.309e+05,2.148e+03,1.195e+03,2.342e+05
80.5,1.688e+05,1.036e+03,2.225e+03,1.721e+05
82.2,1.378e+05,1.213e+03,4.041e+03,1.430e+05
83.9,1.279e+05,3.760e+03,6.478e+03,1.382e+05
85.6,1.182e+05,6.229e+03,7.926e+03,1.324e+05
87.4,1.091e+05,6.860e+03,6.986e+03,1.229e+05
89.1,9.832e+04,6.336e+03,5.350e+03,1.100e+05
90.8,8.481e+04,5.996e+03,4.608e+03,9.542e+04
92.5,7.190e+04,6.527e+03,5.055e+03,8.348e+04
94.2,6.247e+04,7.624e+03,6.198e+03,7.630e+04
95.9,5.501e+04,7.607e+03,6.082e+03,6.870e+04
97.6,4.694e+04,6.293e+03,4.710e+03,5.794e+04
99.3,3.800e+04,5.801e+03,4.459e+03,4.826e+04
101.1,3.010e+04,8.782e+03,7.574e+03,4.645e+04
102.8,2.643e+04,1.744e+04,1.538e+04,5.926e+04
104.5,2.287e+04,1.961e+04,1.717e+04,5.965e+04
106.2,1.678e+04,1.493e+04,1.384e+04,4.555e+04
107.9,1.636e+04,2.342e+04,2.321e+04,6.299e+04
109.6,1.865e+04,3.419e+04,3.444e+04,8.728e+04
111.3,1.983e+04,4.165e+04,4.270e+04,1.042e+05
113.0,2.008e+04,4.704e+04,4.895e+04,1.161e+05
114.8,1.947e+04,5.057e+04,5.339e+04,1.234e+05
116.5,1.857e+04,5.151e+04,5.613e+04,1.262e+05
118.2,1.690e+04,4.955e+04,5.570e+04,1.222e+05
119.9,1.453e+04,4.523e+04,5.263e+04,1.124e+05
121.6,1.219e+04,4.011e+04,4.888e+04,1.012e+05
123.3,1.003e+04,3.502e+04,4.500e+04,9.004e+04
125.0,8.021e+03,3.133e+04,4.117e+04,8.052e+04
126.7,8.718e+03,3.163e+04,3.989e+04,8.023e+04
128.5,2.179e+04,3.693e+04,4.176e+04,1.005e+05
130.2,4.912e+04,4.444e+04,4.521e+04,1.388e+05
131.9,5.826e+04,4.143e+04,4.080e+04,1.405e+05
133.6,2.168e+04,1.398e+04,1.367e+04,4.933e+04
135.3,4.686e+03,1.836e+03,1.859e+03,8.381e+03
137.0,4.435e+03,1.436e+03,1.437e+03,7.308e+03
138.7,3.926e+03,1.171e+03,1.223e+03,6.319e+03
140.5,2.970e+03,8.830e+02,1.021e+03,4.875e+03
142.2,2.202e+03,7.674e+02,9.008e+02,3.870e+03
143.9,1.690e+03,7.489e+02,8.287e+02,3.268e+03
145.6,1.386e+03,7.721e+02,8.074e+02,2.966e+03
147.3,1.227e+03,8.165e+02,8.739e+02,2.918e+03
149.0,1.165e+03,1.086e+03,1.113e+03,3.364e+03
150.7,1.089e+03,1.417e+03,1.267e+03,3.773e+03
152.4,9.683e+02,1.560e+03,1.151e+03,3.679e+03
154.2,9.117e+02,1.652e+03,1.044e+03,3.607e+03
155.9,7.506e+02,1.689e+03,9.335e+02,3.373e+03
157.6,5.491e+02,1.658e+03,7.866e+02,2.994e+03
159.3,4.416e+02,1.484e+03,6.159e+02,2.542e+03
161.0,3.967e+02,1.202e+03,5.988e+02,2.197e+03
162.7,3.852e+02,1.310e+03,6.160e+02,2.311e+03
164.4,3.856e+02,1.413e+03,4.675e+02,2.266e+03
166.1,4.479e+02,1.454e+03,3.553e+02,2.257e+03
167.9,6.719e+02,1.474e+03,2.734e+02,2.420e+03
169.6,1.049e+03,1.639e+03,2.257e+02,2.914e+03
171.3,1.205e+03,1.657e+03,2.799e+02,3.142e+03
173.0,1.064e+03,1.527e+03,4.498e+02,3.041e+03
174.7,8.315e+02,1.065e+03,4.124e+02,2.309e+03
176.4,1.014e+03,8.948e+02,3.411e+02,2.250e+03
178.1,1.218e+03,7.169e+02,2.581e+02,2.193e+03
179.8,9.298e+02,7.777e+02,3.189e+02,2.026e+03
181.6,1.244e+03,1.208e+03,3.955e+02,2.847e+03
183.3,1.657e+03,1.432e+03,3.904e+02,3.480e+03
185.0,1.647e+03,1.416e+03,3.665e+02,3.430e+03
186.7,1.229e+03,1.433e+03,3.802e+02,3.042e+03
188.4,1.666e+03,2.090e+03,4.060e+02,4.163e+03
190.1,3.295e+03,3.260e+03,4.522e+02,7.007e+03
191.8,5.800e+03,5.087e+03,5.004e+02,1.139e+04
193.5,8.838e+03,7.902e+03,5.381e+02,1.728e+04
195.3,1.244e+04,1.090e+04,5.916e+02,2.393e+04
197.0,1.353e+04,1.117e+04,6.209e+02,2.532e+04
198.7,1.059e+04,8.022e+03,6.208e+02,1.923e+04
