freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.106e+02,6.299e+01,2.534e+01,8.989e+02
1.7,4.617e+02,4.705e+01,3.250e+01,5.413e+02
3.4,8.728e+01,1.447e+01,2.559e+01,1.273e+02
5.1,1.066e+03,2.186e+01,2.562e+01,1.113e+03
6.8,2.791e+03,7.858e+01,2.618e+01,2.896e+03
8.6,3.622e+03,9.966e+01,2.687e+01,3.749e+03
10.3,3.825e+03,3.670e+01,2.540e+01,3.887e+03
12.0,5.387e+03,1.731e+01,2.747e+01,5.432e+03
13.7,7.581e+03,2.019e+01,2.681e+01,7.628e+03
15.4,1.029e+04,2.847e+01,2.724e+01,1.035e+04
17.1,1.392e+04,4.826e+01,2.943e+01,1.400e+04
18.8,1.817e+04,5.821e+01,3.388e+01,1.826e+04
20.5,2.160e+04,6.668e+01,3.556e+01,2.170e+04
22.2,2.507e+04,8.017e+01,3.673e+01,2.519e+04
23.9,2.965e+04,1.256e+02,4.298e+01,2.982e+04
25.7,3.547e+04,1.990e+02,5.290e+01,3.572e+04
27.4,4.254e+04,3.870e+02,7.555e+01,4.300e+04
29.1,5.104e+04,1.078e+03,1.084e+02,5.222e+04
30.8,6.058e+04,4.507e+03,1.544e+02,6.524e+04
32.5,6.985e+04,1.198e+04,2.079e+02,8.204e+04
34.2,7.962e+04,1.159e+04,1.947e+02,9.141e+04
35.9,9.355e+04,6.964e+03,1.910e+02,1.007e+05
37.6,1.172e+05,6.096e+03,2.162e+02,1.235e+05
39.3,1.465e+05,6.654e+03,2.663e+02,1.534e+05
41.1,1.907e+05,7.516e+03,4.067e+02,1.986e+05
42.8,2.485e+05,1.006e+04,6.183e+02,2.591e+05
44.5,3.149e+05,1.392e+04,9.381e+02,3.298e+05
46.2,4.458e+05,2.104e+04,1.689e+03,4.685e+05
47.9,6.712e+05,3.109e+04,3.508e+03,7.058e+05
49.6,1.031e+06,4.696e+04,7.282e+03,1.085e+06
51.3,1.852e+06,8.903e+04,1.884e+04,1.960e+06
53.0,2.817e+06,1.528e+05,3.720e+04,3.007e+06
54.7,2.779e+06,1.633e+05,3.824e+04,2.981e+06
56.5,2.204e+06,1.378e+05,2.702e+04,2.369e+06
58.2,1.739e+06,1.221e+05,2.317e+04,1.884e+06
59.9,1.480e+06,1.204e+05,2.823e+04,1.628e+06
61.6,1.258e+06,1.165e+05,3.480e+04,1.409e+06
63.3,1.059e+06,1.046e+05,3.478e+04,1.198e+06
65.0,8.729e+05,9.517e+04,3.410e+04,1.002e+06
66.7,6.560e+05,8.504e+04,3.803e+04,7.790e+05
68.4,4.723e+05,8.004e+04,5.537e+04,6.077e+05
70.1,3.595e+05,8.243e+04,1.050e+05,5.469e+05
71.8,3.100e+05,6.465e+04,1.573e+05,5.319e+05
73.6,3.174e+05,2.629e+04,1.032e+05,4.468e+05
75.3,3.214e+05,1.885e+04,4.238e+04,3.827e+05
77.0,2.758e+05,2.309e+04,2.273e+04,3.217e+05
78.7,1.931e+05,2.289e+04,1.521e+04,2.312e+05
80.4,1.544e+05,2.133e+04,1.884e+04,1.946e+05
82.1,1.617e+05,1.966e+04,2.274e+04,2.041e+05
83.8,1.640e+05,1.737e+04,2.113e+04,2.025e+05
85.5,1.667e+05,1.581e+04,2.124e+04,2.037e+05
87.2,2.026e+05,1.430e+04,2.770e+04,2.446e+05
89.0,2.329e+05,1.293e+04,2.621e+04,2.721e+05
90.7,2.364e+05,1.085e+04,1.689e+04,2.641e+05
92.4,2.251e+05,1.174e+04,1.316e+04,2.500e+05
94.1,2.020e+05,1.362e+04,9.792e+03,2.254e+05
