freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.736e+01,3.109e+02,3.529e+02,7.012e+02
1.8,4.989e+01,1.977e+02,2.381e+02,4.857e+02
3.6,3.748e+01,1.482e+02,7.035e+01,2.561e+02
5.4,3.970e+01,1.159e+03,6.939e+01,1.268e+03
7.2,5.194e+01,2.939e+03,1.096e+02,3.100e+03
9.0,8.065e+01,4.632e+03,2.773e+02,4.990e+03
10.8,1.036e+02,5.075e+03,1.935e+02,5.372e+03
12.6,1.605e+02,7.610e+03,1.156e+02,7.886e+03
14.4,1.201e+02,1.199e+04,1.376e+02,1.225e+04
16.2,1.205e+02,1.839e+04,2.120e+02,1.873e+04
18.0,1.218e+02,2.505e+04,1.002e+03,2.617e+04
19.8,1.641e+02,2.324e+04,2.565e+03,2.597e+04
21.6,2.624e+02,1.969e+04,3.797e+03,2.375e+04
23.4,3.954e+02,2.391e+04,3.543e+03,2.785e+04
25.2,7.236e+02,3.838e+04,2.281e+03,4.138e+04
27.0,1.756e+03,6.718e+04,1.231e+03,7.016e+04
28.8,6.010e+03,1.336e+05,1.221e+03,1.408e+05
30.6,1.416e+04,1.870e+05,4.772e+03,2.059e+05
32.4,1.691e+04,1.398e+05,7.997e+03,1.647e+05
34.2,1.155e+04,7.327e+04,6.961e+03,9.178e+04
36.0,5.937e+03,5.439e+04,5.516e+03,6.584e+04
37.8,5.874e+03,8.926e+04,1.973e+04,1.149e+05
39.6,8.410e+03,1.489e+05,5.905e+04,2.164e+05
41.4,3.273e+04,3.580e+05,1.556e+05,5.464e+05
43.2,5.831e+04,6.661e+05,3.761e+05,1.101e+06
45.0,4.587e+04,5.747e+05,5.403e+05,1.161e+06
46.8,2.693e+04,3.086e+05,5.146e+05,8.502e+05
48.6,1.604e+04,1.354e+05,4.215e+05,5.729e+05
50.4,1.172e+04,6.192e+04,3.585e+05,4.322e+05
52.2,1.020e+04,3.489e+04,3.762e+05,4.213e+05
54.0,1.189e+04,2.952e+04,4.658e+05,5.072e+05
55.8,2.032e+04,4.497e+04,6.062e+05,6.715e+05
57.6,4.152e+04,8.508e+04,8.029e+05,9.295e+05
59.4,7.419e+04,1.408e+05,9.441e+05,1.159e+06
