freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.935e+02,1.984e+01,1.621e+01,4.296e+02
1.7,4.482e+02,3.920e+01,4.178e+01,5.292e+02
3.4,4.471e+02,3.706e+01,4.385e+01,5.280e+02
5.1,1.357e+03,3.751e+01,4.237e+01,1.436e+03
6.8,2.944e+03,3.953e+01,4.448e+01,3.028e+03
8.6,4.539e+03,5.054e+01,4.469e+01,4.634e+03
10.3,7.277e+03,4.848e+01,4.487e+01,7.370e+03
12.0,7.004e+03,4.194e+01,4.931e+01,7.095e+03
13.7,6.521e+03,3.837e+01,4.923e+01,6.608e+03
15.4,9.590e+03,4.394e+01,4.647e+01,9.680e+03
17.1,1.344e+04,6.669e+01,4.847e+01,1.355e+04
18.8,1.632e+04,1.438e+02,4.568e+01,1.651e+04
20.5,1.770e+04,1.131e+02,4.380e+01,1.786e+04
22.3,1.928e+04,8.160e+01,5.616e+01,1.942e+04
24.0,2.249e+04,6.936e+01,9.557e+01,2.266e+04
25.7,2.703e+04,6.096e+01,1.081e+02,2.720e+04
27.4,3.375e+04,7.790e+01,7.574e+01,3.390e+04
29.1,4.206e+04,1.509e+02,6.677e+01,4.228e+04
30.8,5.348e+04,4.190e+02,6.390e+01,5.396e+04
32.5,6.837e+04,1.322e+03,7.386e+01,6.976e+04
34.2,7.116e+04,4.021e+03,1.652e+02,7.534e+04
35.9,5.548e+04,8.057e+03,3.110e+02,6.385e+04
37.7,5.368e+04,1.020e+04,3.660e+02,6.424e+04
39.4,6.287e+04,9.166e+03,3.805e+02,7.242e+04
41.1,7.982e+04,5.837e+03,3.014e+02,8.596e+04
42.8,1.041e+05,2.295e+03,1.866e+02,1.066e+05
44.5,1.333e+05,1.066e+03,1.533e+02,1.345e+05
46.2,1.903e+05,9.495e+02,1.863e+02,1.915e+05
47.9,2.764e+05,9.007e+02,1.993e+02,2.775e+05
49.6,3.484e+05,6.002e+02,2.142e+02,3.492e+05
51.4,4.665e+05,4.355e+02,4.767e+02,4.674e+05
53.1,6.453e+05,4.217e+02,1.263e+03,6.470e+05
54.8,7.008e+05,4.694e+02,1.756e+03,7.030e+05
56.5,7.925e+05,6.310e+02,1.049e+03,7.942e+05
58.2,7.379e+05,3.943e+02,5.442e+02,7.388e+05
