freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.301e+01,2.862e+02,1.862e+02,4.954e+02
1.8,3.426e+01,1.797e+02,1.499e+02,3.639e+02
3.6,3.015e+01,1.333e+02,6.228e+01,2.257e+02
5.4,3.233e+01,1.075e+03,6.362e+01,1.171e+03
7.2,4.014e+01,2.504e+03,7.380e+01,2.618e+03
9.0,4.243e+01,3.631e+03,8.064e+01,3.754e+03
10.8,4.209e+01,5.348e+03,6.261e+01,5.452e+03
12.6,5.474e+01,8.048e+03,6.800e+01,8.171e+03
14.4,6.495e+01,1.194e+04,1.063e+02,1.211e+04
16.2,7.999e+01,1.978e+04,3.296e+02,2.019e+04
18.0,1.311e+02,2.471e+04,8.004e+02,2.564e+04
19.8,1.604e+02,1.511e+04,8.307e+02,1.610e+04
21.6,1.117e+02,1.669e+04,1.912e+03,1.871e+04
23.4,1.429e+02,2.335e+04,1.949e+03,2.544e+04
25.2,2.772e+02,3.729e+04,1.718e+03,3.928e+04
27.0,4.831e+02,5.968e+04,1.151e+03,6.131e+04
28.8,9.382e+02,9.723e+04,9.390e+02,9.910e+04
30.6,2.762e+03,1.536e+05,1.759e+03,1.581e+05
32.4,6.831e+03,1.887e+05,3.444e+03,1.990e+05
34.2,6.495e+03,1.713e+05,5.370e+03,1.831e+05
36.0,2.680e+03,1.304e+05,6.628e+03,1.397e+05
37.8,2.639e+03,1.031e+05,4.908e+03,1.107e+05
39.6,2.623e+03,9.711e+04,2.338e+03,1.021e+05
41.4,1.918e+03,1.165e+05,2.993e+03,1.214e+05
43.2,1.984e+03,1.453e+05,7.393e+03,1.547e+05
45.0,2.561e+03,1.723e+05,1.552e+04,1.904e+05
46.8,4.149e+03,2.143e+05,3.865e+04,2.571e+05
48.6,8.562e+03,2.782e+05,9.892e+04,3.857e+05
50.4,1.720e+04,2.716e+05,1.441e+05,4.329e+05
52.2,2.249e+04,2.364e+05,1.353e+05,3.942e+05
54.0,1.560e+04,2.622e+05,1.108e+05,3.887e+05
55.8,1.053e+04,2.579e+05,9.727e+04,3.656e+05
57.6,7.386e+03,2.233e+05,9.437e+04,3.250e+05
59.4,3.555e+03,1.932e+05,8.989e+04,2.866e+05
61.2,6.991e+03,1.695e+05,1.250e+05,3.015e+05
63.0,1.206e+04,1.325e+05,1.865e+05,3.310e+05
64.8,1.164e+04,9.540e+04,2.230e+05,3.301e+05
66.6,1.033e+04,6.089e+04,2.255e+05,2.967e+05
68.4,8.642e+03,3.384e+04,2.127e+05,2.552e+05
70.2,7.519e+03,1.860e+04,2.271e+05,2.532e+05
72.0,9.076e+03,1.038e+04,2.924e+05,3.119e+05
73.8,1.660e+04,1.116e+04,4.479e+05,4.757e+05
75.6,3.587e+04,3.518e+04,6.592e+05,7.302e+05
77.4,7.258e+04,9.536e+04,7.855e+05,9.535e+05
